number,species,site,region,sequence,crown.exp,canopy_scope,mode,X9,seen
pefoz_16_3,pefo,gzt16_3,ZT,3,2,11.5,TS,NA,1
tebiz_16_3,tebi,gzt16_3,ZT,3,2,11.5,TT,NA,1
hyviz_16_3,hyvi,gzt16_3,ZT,3,2,11.5,AAR,NA,1
smlaz_17_1,smla,gzt17_1,ZT,1,2.5,15,TT,NA,1
tebiz_17_1,tebi,gzt17_1,ZT,1,2.5,13,TT,NA,1
hyviz_17_1,hyvi,gzt17_1,ZT,1,1,5.5,AAR,NA,1
pssez_17_1,psse,gzt17_1,ZT,1,1.5,6,AAR,NA,1
smbrz_17_2,smbr,gzt17_2,ZT,2,1.5,11,TT,NA,1
pumoz_17_2,pumo,gzt17_2,ZT,2,1.5,9.5,TS,NA,1
kamaz_17_2,kama,gzt17_2,ZT,2,1.5,8.5,TS,NA,1
tebiz_17_2,tebi,gzt17_2,ZT,2,1.5,8.5,TT,NA,1
pssez_17_2,psse,gzt17_2,ZT,2,1.5,7.5,AAR,NA,1
hyviz_17_2,hyvi,gzt17_2,ZT,2,1.5,7.5,AAR,NA,1
fisaz_17_2,fisa,gzt17_2,ZT,2,1,4,AAR,NA,1
cacoz_17_2,caco,gzt17_2,ZT,2,1,7,TT,NA,1
mutaz_17_3,muta,gzt17_3,ZT,3,1.5,7,TS,NA,1
tebiz_17_3,tebi,gzt17_3,ZT,3,1.5,9,TT,NA,1
pefoz_17_3,pefo,gzt17_3,ZT,3,1,5,TS,NA,1
fiolz_17_3,fiol,gzt17_3,ZT,3,1.5,7.5,TB,NA,1
aeacz_17_3,aeac,gzt17_3,ZT,3,2,8,AAR,NA,1
pefoz_17_4,pefo,gzt17_4,ZT,4,1.5,6.5,TS,NA,1
tebiz_17_4,tebi,gzt17_4,ZT,4,2,7,TT,NA,1
hyviz_17_4,hyvi,gzt17_4,ZT,4,1,5.5,AAR,NA,1
tebiz_13_1,tebi,gzt13_1,ZT,1,3,20.5,TT,NA,1
aeacz_13_1,aeac,gzt13_1,ZT,1,2,7,AAR,NA,1
hyviz_13_1,hyvi,gzt13_1,ZT,1,2,7,AAR,NA,1
hyviz_13_2,hyvi,gzt13_2,ZT,2,1,2.5,AAR,NA,1
tebiz_13_2,tebi,gzt13_2,ZT,2,1,2.5,TT,NA,1
hyviz_13_4,hyvi,gzt13_4,ZT,4,2.5,9,AAR,NA,1
tebiz_13_4,tebi,gzt13_4,ZT,4,2.5,9,TT,NA,1
tebiz_20_1,tebi,gzt20_1,ZT,1,3,15,TT,NA,1
